id,group,question,gold_answer,required_facts,gold_evidence_groups,top_k,topk_ids,direct_hit_at_k,expanded_ids,bundle_ids,final_evidence_hit,recovered_by_expansion,bot_answer,answer_accuracy,pipeline_ms,generation_ms,total_ms,error
T01,Temporal,HK1 năm học 2026-2027 học từ ngày nào đến ngày nào?,Từ ngày 07/09/2026 đến ngày 20/12/2026.,"[""training_period_start=2026-09-07"",""training_period_end=2026-12-20""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK1_26_27_doc_1_muc_0""]}]",6,"[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_2"",""KHGDVDKHP_HK1_26_27_doc_1_muc_1"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_1"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_1"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0_bang_1_dong_6""]",0,"[""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0""]","[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_2"",""KHGDVDKHP_HK1_26_27_doc_1_muc_1"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3_bang_1_dong_1"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_1"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0_bang_1_dong_6"",""KHGDVDKHP_HK1_26_27_doc_2_muc_3"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0""]",1,1,Học kỳ 1 năm học 2026-2027 diễn ra từ ngày 07/9/2026 đến ngày 20/12/2026.,,13927.4,39119.1,53046.5,UNGRADED
T02,Temporal,Nếu lịch thi học phần riêng hoặc bảo vệ luận văn trùng ngày nghỉ Giỗ Tổ 07/04/2025 thì được bố trí bù khi nào?,"Được bù vào Chủ nhật 13/04/2025, hoặc vào thời gian thích hợp khác do giảng viên sắp xếp và thông báo cho người học.","[""scheduled_makeup_date=2025-04-13"",""alternative=thời gian thích hợp do giảng viên sắp xếp và thông báo cho người học""]","[{""name"":""primary_evidence"",""any_of"":[""GioTo2025_doc_1_muc_0""]}]",6,"[""QuocKhanh2025_doc_1_muc_0"",""Tet2025_doc_1_muc_0"",""KHGDVDKHP_HK2_25_26_doc_1_muc_0_bang_1_dong_7"",""KHGDVDKHP_HK1_25_26_doc_1_muc_0_bang_1_dong_7"",""KHGDVDKHP_HK1_25_26_doc_1_muc_0"",""KHGDVDKHP_HK3_24_25_doc_2_muc_3_bang_1_dong_1""]",0,"[""KHGDVDKHP_HK2_25_26_doc_1_muc_0"",""KHGDVDKHP_HK1_25_26_doc_1_muc_0"",""KHGDVDKHP_HK3_24_25_doc_2_muc_3""]","[""QuocKhanh2025_doc_1_muc_0"",""Tet2025_doc_1_muc_0"",""KHGDVDKHP_HK2_25_26_doc_1_muc_0_bang_1_dong_7"",""KHGDVDKHP_HK1_25_26_doc_1_muc_0_bang_1_dong_7"",""KHGDVDKHP_HK1_25_26_doc_1_muc_0"",""KHGDVDKHP_HK3_24_25_doc_2_muc_3_bang_1_dong_1"",""KHGDVDKHP_HK2_25_26_doc_1_muc_0"",""KHGDVDKHP_HK3_24_25_doc_2_muc_3""]",0,0,Chưa tìm thấy thông tin về việc bù lịch thi hoặc bảo vệ luận văn trùng ngày nghỉ Giỗ Tổ 07/04/2025 trong các tài liệu cung cấp.,,402.9,38370.4,38773.3,UNGRADED
T03,Temporal,Sinh viên tự đánh giá DRL HK1 2025-2026 từ ngày nào đến ngày nào?,Từ ngày 27/11/2025 đến ngày 07/12/2025.,"[""self_assessment_start=2025-11-27"",""self_assessment_end=2025-12-07""]","[{""name"":""primary_evidence"",""any_of"":[""DRL_HK1_2025_2026_doc_1_muc_1_bang_1_dong_3""]}]",6,"[""DRL_HK1_2025_2026_doc_1_muc_1_bang_1_dong_3"",""DRL_HK1_2025_2026_doc_1_muc_0"",""DRL_HK1_2025_2026_doc_1_muc_2"",""DRL_HK1_2025_2026_doc_1_muc_1""]",1,"[""DRL_HK1_2025_2026_doc_1_muc_1""]","[""DRL_HK1_2025_2026_doc_1_muc_1_bang_1_dong_3"",""DRL_HK1_2025_2026_doc_1_muc_0"",""DRL_HK1_2025_2026_doc_1_muc_2"",""DRL_HK1_2025_2026_doc_1_muc_1""]",1,0,Sinh viên tự đánh giá điểm rèn luyện học kỳ 1 năm học 2025-2026 từ ngày 27/11 đến ngày 07/12/2025.,,258.6,26548.7,26807.3,UNGRADED
T04,Temporal,HK3 năm học 2025-2026 học từ ngày nào đến ngày nào?,Từ ngày 11/05/2026 đến ngày 23/08/2026.,"[""training_period_start=2026-05-11"",""training_period_end=2026-08-23""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK3_25_26_doc_1_muc_0""]}]",6,"[""KHGDVDKHP_HK3_25_26_doc_2_muc_3_bang_1_dong_3"",""KHGDVDKHP_HK3_25_26_doc_2_muc_3"",""KHGDVDKHP_HK3_25_26_doc_2_muc_2_bang_1_dong_18"",""KHGDVDKHP_HK3_25_26_doc_1_muc_1"",""KHGDVDKHP_HK3_25_26_doc_2_muc_2_bang_2_dong_7"",""KHGDVDKHP_HK3_25_26_doc_1_muc_0_bang_1_dong_6""]",0,"[""KHGDVDKHP_HK3_25_26_doc_2_muc_3"",""KHGDVDKHP_HK3_25_26_doc_2_muc_2"",""KHGDVDKHP_HK3_25_26_doc_1_muc_0""]","[""KHGDVDKHP_HK3_25_26_doc_2_muc_3_bang_1_dong_3"",""KHGDVDKHP_HK3_25_26_doc_2_muc_3"",""KHGDVDKHP_HK3_25_26_doc_2_muc_2_bang_1_dong_18"",""KHGDVDKHP_HK3_25_26_doc_1_muc_1"",""KHGDVDKHP_HK3_25_26_doc_2_muc_2_bang_2_dong_7"",""KHGDVDKHP_HK3_25_26_doc_1_muc_0_bang_1_dong_6"",""KHGDVDKHP_HK3_25_26_doc_2_muc_2"",""KHGDVDKHP_HK3_25_26_doc_1_muc_0""]",1,1,Học kỳ 3 năm học 2025-2026 diễn ra từ ngày 11/5/2026 đến ngày 23/8/2026.,,322.7,35156.7,35479.5,UNGRADED
T05,Temporal,Sinh viên tự đánh giá điểm rèn luyện học kỳ 2 năm học 2025-2026 trong khoảng thời gian nào?,Từ ngày 03/04/2026 đến ngày 13/04/2026.,"[""self_assessment_start=2026-04-03"",""self_assessment_end=2026-04-13""]","[{""name"":""primary_evidence"",""any_of"":[""DRL_HK2_2025_2026_doc_1_muc_1_bang_1_dong_3""]}]",6,"[""DRL_HK2_2025_2026_doc_1_muc_1_bang_1_dong_3"",""DRL_HK2_2025_2026_doc_1_muc_0"",""DRL_HK2_2025_2026_doc_1_muc_1"",""DRL_HK2_2025_2026_doc_1_muc_2""]",1,"[""DRL_HK2_2025_2026_doc_1_muc_1""]","[""DRL_HK2_2025_2026_doc_1_muc_1_bang_1_dong_3"",""DRL_HK2_2025_2026_doc_1_muc_0"",""DRL_HK2_2025_2026_doc_1_muc_1"",""DRL_HK2_2025_2026_doc_1_muc_2""]",1,0,Sinh viên tự đánh giá điểm rèn luyện học kỳ 2 năm học 2025-2026 trong khoảng thời gian từ ngày 03/04 đến 13/04/2026.,,262.7,25493.7,25756.4,UNGRADED
T06,Temporal,Sinh viên phản hồi kết quả đánh giá DRL HK3 2025-2026 từ ngày nào đến ngày nào?,Từ ngày 18/08/2026 đến ngày 31/08/2026.,"[""student_feedback_start=2026-08-18"",""student_feedback_end=2026-08-31""]","[{""name"":""primary_evidence"",""any_of"":[""DRL_HK3_2025_2026_doc_1_muc_1_bang_1_dong_5""]}]",6,"[""DRL_HK3_2025_2026_doc_1_muc_1_bang_1_dong_5"",""DRL_HK3_2025_2026_doc_1_muc_0"",""DRL_HK3_2025_2026_doc_1_muc_2"",""DRL_HK3_2025_2026_doc_1_muc_1""]",1,"[""DRL_HK3_2025_2026_doc_1_muc_1""]","[""DRL_HK3_2025_2026_doc_1_muc_1_bang_1_dong_5"",""DRL_HK3_2025_2026_doc_1_muc_0"",""DRL_HK3_2025_2026_doc_1_muc_2"",""DRL_HK3_2025_2026_doc_1_muc_1""]",1,0,Sinh viên phản hồi kết quả đánh giá DRL học kỳ 3 năm học 2025-2026 từ ngày 18/08 đến ngày 31/08/2026.,,273.1,25866.3,26139.4,UNGRADED
T07,Temporal,Đại học Cần Thơ nghỉ Tết Âm lịch 2026 từ ngày nào đến ngày nào?,Nghỉ từ ngày 09/02/2026 đến hết Chủ nhật 22/02/2026.,"[""holiday_start=2026-02-09"",""holiday_end=2026-02-22""]","[{""name"":""primary_evidence"",""any_of"":[""Tet2026_doc_1_muc_1""]}]",6,"[""QuocKhanh2026_doc_1_muc_0"",""Tet2026_doc_1_muc_0"",""Tet2026_doc_1_muc_1"",""GioTo2026_doc_1_muc_0"",""GioTo2026_doc_1_muc_2""]",1,[],"[""QuocKhanh2026_doc_1_muc_0"",""Tet2026_doc_1_muc_0"",""Tet2026_doc_1_muc_1"",""GioTo2026_doc_1_muc_0"",""GioTo2026_doc_1_muc_2""]",1,0,Đại học Cần Thơ nghỉ Tết Âm lịch năm 2026 từ ngày 09/02/2026 đến hết ngày 22/02/2026.,,241.9,32822,33063.9,UNGRADED
T08,Temporal,Đợt 2 điều chỉnh kết quả ĐKHP HK2 năm học 2025-2026 diễn ra từ ngày nào đến ngày nào?,Từ ngày 29/12/2025 đến ngày 04/01/2026.,"[""registration_adjustment_start=2025-12-29"",""registration_adjustment_end=2026-01-04""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK2_25_26_doc_1_muc_0_bang_1_dong_7""]}]",6,"[""KHGDVDKHP_HK2_25_26_doc_1_muc_0_bang_1_dong_7"",""KHGDVDKHP_HK2_25_26_doc_2_muc_3_bang_1_dong_2"",""KHGDVDKHP_HK2_25_26_doc_2_muc_3"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2_bang_2_dong_1"",""KHGDVDKHP_HK2_25_26_doc_1_muc_1"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2""]",1,"[""KHGDVDKHP_HK2_25_26_doc_1_muc_0"",""KHGDVDKHP_HK2_25_26_doc_2_muc_3"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2""]","[""KHGDVDKHP_HK2_25_26_doc_1_muc_0_bang_1_dong_7"",""KHGDVDKHP_HK2_25_26_doc_2_muc_3_bang_1_dong_2"",""KHGDVDKHP_HK2_25_26_doc_2_muc_3"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2_bang_2_dong_1"",""KHGDVDKHP_HK2_25_26_doc_1_muc_1"",""KHGDVDKHP_HK2_25_26_doc_2_muc_2"",""KHGDVDKHP_HK2_25_26_doc_1_muc_0""]",1,0,Đợt 2 điều chỉnh kết quả đăng ký học phần diễn ra từ ngày 29/12/2025 đến ngày 04/01/2026.,,324.9,34700.1,35025,UNGRADED
T09,Temporal,Đợt 1 ĐKHP HK1 năm học 2026-2027 diễn ra từ ngày nào đến ngày nào?,Từ ngày 03/08/2026 đến ngày 16/08/2026.,"[""round_1_start=2026-08-03"",""round_1_end=2026-08-16""]","[{""name"":""primary_evidence"",""any_of"":[""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0_bang_1_dong_2""]}]",6,"[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_1"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0_bang_1_dong_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_1"",""KHGDVDKHP_HK1_26_27_doc_1_muc_1"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0""]",1,"[""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0""]","[""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_1_dong_1"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0_bang_1_dong_5"",""KHGDVDKHP_HK1_26_27_doc_2_muc_2_bang_2_dong_1"",""KHGDVDKHP_HK1_26_27_doc_1_muc_1"",""KHGDVDKHP_HK1_26_27_doc_1_muc_0""]",1,0,Đợt 1 đăng ký học phần học kỳ 1 năm học 2026-2027 diễn ra từ ngày 03/8/2026 đến ngày 16/8/2026.,,324.4,40481,40805.4,UNGRADED
T10,Temporal,"Đại học Cần Thơ nghỉ Quốc khánh 2026 những ngày nào, và ngày làm việc 31/08/2026 được bố trí làm bù khi nào?","Nghỉ ngày 01/09/2026 và 02/09/2026; ngày làm việc thứ Hai 31/08/2026 được chuyển sang làm bù vào thứ Bảy 22/08/2026, nên ngày 31/08/2026 cũng được nghỉ.","[""national_day_holidays={2026-09-01,2026-09-02}"",""swapped_day_off=2026-08-31"",""makeup_workday=2026-08-22""]","[{""name"":""primary_evidence"",""any_of"":[""QuocKhanh2026_doc_1_muc_0""]}]",6,"[""QuocKhanh2026_doc_1_muc_0"",""Tet2026_doc_1_muc_0"",""GioTo2026_doc_1_muc_0"",""GioTo2026_doc_1_muc_2"",""GioTo2026_doc_1_muc_1""]",1,[],"[""QuocKhanh2026_doc_1_muc_0"",""Tet2026_doc_1_muc_0"",""GioTo2026_doc_1_muc_0"",""GioTo2026_doc_1_muc_2"",""GioTo2026_doc_1_muc_1""]",1,0,"Đại học Cần Thơ nghỉ Lễ Quốc khánh 2026 vào hai ngày: 01/9/2026 và 02/9/2026.
Ngày làm việc 31/8/2026 được hoán đổi sang làm bù vào Thứ Bảy, ngày 22/8/2026.",,362,40639.3,41001.4,UNGRADED
